,Year,FIRE Compensation to Employment Ratio
0,1929,1.472792410586018
1,1930,1.4521045244729074
2,1931,1.4810594331166786
3,1932,1.5249558345500136
4,1933,1.5288254179830612
5,1934,1.495944268841568
6,1935,1.4589193122927024
7,1936,1.4610125922468546
8,1937,1.4267066351430686
9,1938,1.4194031783370245
10,1939,1.3736616550565852
11,1940,1.329162977895403
12,1941,1.2185010039406667
13,1942,1.0872428672908219
14,1943,1.0170469293601747
15,1944,0.9997129200357993
16,1945,1.0316822799172256
17,1946,1.0833819340324755
18,1947,1.0474999302775074
19,1948,1.071109507017152
20,1949,1.081398561769054
21,1950,1.07708837661019
22,1951,1.038947398207135
23,1952,1.0204608283676333
24,1953,1.008264385842699
25,1954,1.0297975352112676
26,1955,1.012772575958248
27,1956,0.9986051443212092
28,1957,0.9916149223218627
29,1958,1.0093904419436195
30,1959,1.0181201273972564
31,1960,1.012333972399057
32,1961,1.0391333405602245
33,1962,1.0303937722388674
34,1963,1.0296951584769949
35,1964,1.0298353694951283
36,1965,1.0262803348861615
37,1966,1.0292192130697502
38,1967,1.0340601483649652
39,1968,1.0365005401993657
40,1969,1.0204154540359354
41,1970,1.0175550005649485
42,1971,1.0240476799820755
43,1972,1.0287316988689428
44,1973,1.0112760785552304
45,1974,0.9936364593598954
46,1975,1.0023318883357433
47,1976,1.0046812148424011
48,1977,1.0021209290483126
49,1978,1.0076199045454082
50,1979,1.0038060543798792
51,1980,1.0127528761170588
52,1981,1.0138567183116163
53,1982,1.0266600739543452
54,1983,1.0678326138709073
55,1984,1.0842838547835132
56,1985,1.1152613745712665
57,1986,1.1568259771828515
58,1987,1.1887970805074264
59,1988,1.215939135410079
60,1989,1.2135663036417927
61,1990,1.2124458002233467
62,1991,1.2185010402468683
63,1992,1.2937599299933282
64,1993,1.3096451229175503
65,1994,1.2939556024781884
66,1995,1.3445964292026638
67,1996,1.3917101000854106
68,1997,1.4286667961733492
69,1998,1.475329828770436
70,1999,1.4836288680309166
71,2000,1.5385759831141104
72,2001,1.481069840260678
73,2002,1.4596705788311408
74,2003,1.433749041668785
75,2004,1.4699605939450044
76,2005,1.5061453263987057
77,2006,1.5316229892623718
78,2007,1.5675769853305577
79,2008,1.5379258175112012
80,2009,1.4486080814834437
81,2010,1.4867258542634196
82,2011,1.5052737522763266
83,2012,1.5115972791332286
84,2013,1.5066713356018087
85,2014,1.538577835378892
86,2015,1.5499906496342561
87,2016,1.5507728029898742
88,2017,1.57044141989839
89,2018,1.5639375057420986
90,2019,1.5489492535199554
